,created_at,entry_id,field6
0,2020-06-04 19:42:08 +0530,1353,32.56
1,2020-06-04 19:57:17 +0530,1354,31.38
2,2020-06-04 20:12:15 +0530,1355,31.0
3,2020-06-04 20:27:21 +0530,1356,31.62
4,2020-06-04 20:42:28 +0530,1357,30.94
5,2020-06-04 20:57:41 +0530,1358,31.12
6,2020-06-04 21:12:43 +0530,1359,30.44
7,2020-06-04 21:27:46 +0530,1360,30.62
8,2020-06-04 21:42:49 +0530,1361,30.81
9,2020-06-04 21:57:47 +0530,1362,30.56
10,2020-06-04 22:12:52 +0530,1363,30.81
11,2020-06-04 22:28:04 +0530,1364,30.12
12,2020-06-04 22:43:09 +0530,1365,30.94
13,2020-06-04 22:58:09 +0530,1366,29.25
14,2020-06-04 23:13:17 +0530,1367,29.19
15,2020-06-04 23:28:22 +0530,1368,28.19
16,2020-06-04 23:43:34 +0530,1369,28.94
17,2020-06-04 23:58:34 +0530,1370,28.75
18,2020-06-05 00:13:40 +0530,1371,28.0
19,2020-06-05 00:28:45 +0530,1372,27.12
20,2020-06-05 00:43:52 +0530,1373,26.5
21,2020-06-05 00:58:58 +0530,1374,27.06
22,2020-06-05 01:14:05 +0530,1375,27.31
23,2020-06-05 01:29:11 +0530,1376,27.38
24,2020-06-05 01:44:16 +0530,1377,28.0
25,2020-06-05 01:59:22 +0530,1378,28.5
26,2020-06-05 02:14:29 +0530,1379,28.12
27,2020-06-05 02:29:38 +0530,1380,28.06
28,2020-06-05 02:44:50 +0530,1381,27.94
29,2020-06-05 02:59:48 +0530,1382,27.44
30,2020-06-05 03:14:57 +0530,1383,28.0
31,2020-06-05 03:30:06 +0530,1384,27.62
32,2020-06-05 03:45:11 +0530,1385,27.81
33,2020-06-05 04:00:18 +0530,1386,27.56
34,2020-06-05 04:15:24 +0530,1387,27.25
35,2020-06-05 04:30:31 +0530,1388,27.25
36,2020-06-05 04:45:37 +0530,1389,27.25
37,2020-06-05 05:00:47 +0530,1390,27.69
38,2020-06-05 05:15:46 +0530,1391,28.12
39,2020-06-05 05:30:52 +0530,1392,28.69
40,2020-06-05 05:45:58 +0530,1393,28.75
41,2020-06-05 06:01:03 +0530,1394,29.12
42,2020-06-05 06:16:13 +0530,1395,28.56
43,2020-06-05 06:31:13 +0530,1396,28.25
44,2020-06-05 06:46:21 +0530,1397,29.06
45,2020-06-05 07:01:29 +0530,1398,28.12
46,2020-06-05 07:16:35 +0530,1399,27.81
47,2020-06-05 07:31:42 +0530,1400,27.44
48,2020-06-05 07:46:49 +0530,1401,27.56
49,2020-06-05 08:01:56 +0530,1402,27.88
50,2020-06-05 08:17:02 +0530,1403,27.62
51,2020-06-05 08:32:18 +0530,1404,27.0
52,2020-06-05 08:47:17 +0530,1405,26.75
53,2020-06-05 09:02:26 +0530,1406,27.0
54,2020-06-05 09:17:34 +0530,1407,27.69
55,2020-06-05 09:32:40 +0530,1408,28.31
56,2020-06-05 09:47:55 +0530,1409,29.06
57,2020-06-05 10:02:57 +0530,1410,29.69
58,2020-06-05 10:18:05 +0530,1411,30.31
59,2020-06-05 10:33:15 +0530,1412,30.69
60,2020-06-05 10:48:13 +0530,1413,31.19
61,2020-06-05 11:03:25 +0530,1414,31.06
62,2020-06-05 11:18:28 +0530,1415,31.56
63,2020-06-05 11:33:26 +0530,1416,31.75
64,2020-06-05 11:48:32 +0530,1417,31.75
65,2020-06-05 12:03:48 +0530,1418,31.88
66,2020-06-05 12:18:45 +0530,1419,31.69
67,2020-06-05 12:33:53 +0530,1420,31.38
68,2020-06-05 12:49:03 +0530,1421,31.56
69,2020-06-05 13:04:01 +0530,1422,31.5
70,2020-06-05 13:19:08 +0530,1423,31.38
71,2020-06-05 13:34:16 +0530,1424,31.56
72,2020-06-05 13:49:32 +0530,1425,31.44
73,2020-06-05 14:04:33 +0530,1426,31.44
74,2020-06-05 14:19:38 +0530,1427,31.0
75,2020-06-05 14:34:51 +0530,1428,31.19
76,2020-06-05 14:49:50 +0530,1429,31.38
77,2020-06-05 15:04:57 +0530,1430,31.25
78,2020-06-05 15:20:09 +0530,1431,31.56
79,2020-06-05 15:35:08 +0530,1432,32.19
80,2020-06-05 15:50:26 +0530,1433,31.81
81,2020-06-05 16:05:26 +0530,1434,31.0
82,2020-06-05 16:20:26 +0530,1435,30.5
83,2020-06-05 16:35:33 +0530,1436,30.12
84,2020-06-05 16:50:40 +0530,1437,30.0
85,2020-06-05 17:05:47 +0530,1438,29.62
86,2020-06-05 17:20:55 +0530,1439,29.56
87,2020-06-05 17:36:04 +0530,1440,29.38
88,2020-06-05 17:51:13 +0530,1441,29.06
89,2020-06-05 18:06:18 +0530,1442,29.19
90,2020-06-05 18:21:25 +0530,1443,30.75
91,2020-06-05 18:36:32 +0530,1444,29.75
92,2020-06-05 18:51:45 +0530,1445,30.19
93,2020-06-05 19:06:48 +0530,1446,30.38
94,2020-06-05 19:21:45 +0530,1447,30.44
95,2020-06-05 19:36:54 +0530,1448,31.06
96,2020-06-05 19:52:00 +0530,1449,31.88
97,2020-06-05 20:07:08 +0530,1450,30.0
98,2020-06-05 20:22:17 +0530,1451,29.5
99,2020-06-05 20:37:22 +0530,1452,30.06
